Date,Price,Open,High,Low,Vol.,Change %
24/11/2017,37365.91,36688.75,37374.88,36677.42,870.58M,0.0185
23/11/2017,36688.75,36608.76,36984.36,36592.26,513.80M,0.0022
22/11/2017,36608.76,36600.07,36693.59,36563.48,261.88M,0.0002
21/11/2017,36600.07,36792.6,36864.64,36579.63,257.93M,-0.0052
20/11/2017,36792.6,36703.58,36800.85,36599.99,208.71M,0.0024
17/11/2017,36703.58,36634.89,36766.24,36615.55,1.83B,0.0019
16/11/2017,36634.89,36617.45,36679.93,36541.9,217.75M,0.0005
15/11/2017,36617.45,36617.45,36617.45,36617.45,,-0.0091
14/11/2017,36953.41,37312.28,37345.7,36996.54,,-0.0096
13/11/2017,37312.28,37120.28,37314.36,36843.04,207.77M,0.0052
10/11/2017,37120.28,37051.54,37121.51,36963.86,175.27M,0.0019
09/11/2017,37051.54,37138.97,37156.28,36932.48,175.75M,-0.0024
08/11/2017,37138.97,37013.57,37138.97,36965.05,193.47M,0.0034
07/11/2017,37013.57,36930.83,37063.04,36907.07,305.17M,0.0022
06/11/2017,36930.83,36939.59,37014.89,36910.49,466.52M,-0.0002
03/11/2017,36939.59,36877.15,37009.46,36834.34,361.05M,0.0017
02/11/2017,36877.15,36887.2,36912.54,36682.4,318.15M,-0.0003
01/11/2017,36887.2,36680.29,36888.04,36427.31,249.35M,0.0056
31/10/2017,36680.29,36484.3,36681.46,36144.63,259.08M,0.0054
30/10/2017,36484.3,36462.26,36484.3,36203.89,174.53M,0.0006
27/10/2017,36462.26,36517.48,36530.55,36310.2,250.88M,-0.0015
26/10/2017,36517.48,36622.85,36640.07,36438.6,356.72M,-0.0029
25/10/2017,36622.85,36531.62,36754.39,36531.62,333.00M,0.0025
24/10/2017,36531.62,36411.73,36551.39,36406.89,199.86M,0.0033
23/10/2017,36411.73,36587.31,36596.66,35825.05,253.54M,-0.0048
20/10/2017,36587.31,36645.65,36683.58,36583.21,106.54M,-0.0016
19/10/2017,36645.65,36641.52,36663.33,36611.37,140.87M,0.0001
18/10/2017,36641.52,36669.61,36702.17,36634.01,198.63M,-0.0008
17/10/2017,36669.61,36970.81,36970.81,36668.42,211.87M,-0.0081
16/10/2017,36970.81,36848.17,37041.52,36833.89,214.96M,0.0033
13/10/2017,36848.17,36732.24,36868.25,36731.09,159.61M,0.0032
12/10/2017,36732.24,36652.99,36732.24,36619.78,443.68M,0.0022
11/10/2017,36652.82,36776.6,36776.6,36620.52,336.38M,-0.0034
10/10/2017,36776.6,36831.93,36846.77,36747.68,353.19M,-0.0015
09/10/2017,36831.93,36321.81,36888.73,36320.29,262.16M,0.0141
06/10/2017,36320.98,35773.69,36350.14,35772.7,367.07M,0.0153
05/10/2017,35773.98,35358.57,35773.98,35155.08,296.82M,0.0117
04/10/2017,35358.57,35306.09,35500.23,35272.84,174.07M,0.0015
03/10/2017,35306.09,35439.98,35475.59,35262.26,634.33M,-0.0038
29/09/2017,35439.98,35430.3,35469.12,35350.17,235.82M,0.0003
28/09/2017,35429.31,35103.4,35433.52,34847.79,337.35M,0.0093
27/09/2017,35103.4,34951.27,35170.7,34653.22,136.40M,0.0044
26/09/2017,34951.27,35358.73,35420.53,34876.87,298.53M,-0.0116
25/09/2017,35361.52,35488.81,35488.81,35246.52,107.15M,-0.0036
22/09/2017,35488.81,35188.97,35490.84,35187.24,192.20M,0.0085
21/09/2017,35188.97,35207.89,35411.85,35128.03,429.22M,-0.0005
20/09/2017,35207.89,34846.82,35207.89,34729.78,137.34M,0.0104
19/09/2017,34846.82,34873.07,34883.22,34734.21,174.66M,-0.0008
18/09/2017,34873.07,35005.57,35105.67,34744.96,162.73M,-0.0038
15/09/2017,35005.57,35659.72,35676.51,34976.5,160.14M,-0.0184
